id,name,family,safety,suggested_ns_color,confidence,reason
"9b8def00-26ee-4a43-a729-a1ddbc6d0cbf","Kettlebell Ankle Dorsiflexion","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"5171ad69-7ed8-4886-a8b3-f65fe6f77efb","Wall Lumbar Extension","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"10810ed5-fe14-47c2-9b60-400f60748991","Build (Progressive loading within tolerance)","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"2b1079bb-3579-4366-840e-a88dbd9a204d","Progressive Toe Touches","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"87a8e978-84f6-4206-a710-023331504d5d","Swimmers","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"7d08c604-12df-473b-a3c3-e6a09541ef43","Banded Archers","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"8fc08df6-6ec4-4987-a831-49a288f0a121","Rhythm + Variation / Space opening","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"b2f315f2-fec5-4429-a7a8-5eabdba3fb88","Wrist Flexor Tendon Gliding","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"4f965332-4699-4e36-83b6-30495a2efd97","Quadruped Scapular Circles","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"d2708e7a-286a-4817-b0cf-383afd6dcd7f","Active Lats Massage","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"3e6d7826-adbb-47fb-8834-d211139153fe","Y-Hurdle Raises","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"a826509c-9b00-4fc3-a151-f6609ef4b795","Tall Kneel Wall Extension","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"a3b90ab7-4752-4d53-863b-1929abad4256","Plank Shoulder Clock","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"d161c77b-03e0-4164-bf0a-a040e135546a","Irradiated Shoulder Extension","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"3a82151f-b517-4232-b8f5-2449fd4faa1a","Rhomboid Active Massage","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"99558474-8599-4674-a510-01c9cab51c58","Slant Board Inversion PAIL","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"92b31b4a-3209-473f-853c-af09e987f020","Front Leg Swing","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"75d7410c-adc1-4291-be53-510831615e65","Finger Extension with Band","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"fbcf8fc9-2478-40c4-bcdf-e42dd9b950b7","Slant Board Inversion RAIL","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"aa7cb17d-6f55-4a78-a47f-e836505cf4e0","Thigh Block Back Extension","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"0e1c2133-d778-4b2e-ac4f-cbd372af9aeb","Thigh Block Full Extension","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"0c7d0b2d-78f5-46db-b4fd-06353a4d46bc","Slant Board Eversion PAIL","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"ea52a50d-f1d4-4ad0-ac15-92184fe65d77","Heel Rise Toe Touches","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"ff8cc347-258d-4fa7-8d2e-7cce5e4c576f","Slant Board Eversion RAIL","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"16290ef0-b4e6-4c1b-bbea-c41ed837c7a3","Hip Adductor Rock Back","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"36531f7e-6851-4b9b-9a42-87bdfa3a263c","Hip Circles","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"f28610a4-562c-4339-a996-de4907be0cfa","Bear Hug Thoracic Extension","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"0685ee21-33db-4555-9996-7a811508ba87","Wrist Long Axis Distraction","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"b861bf4b-b24b-4f02-9643-e16ce572cc2a","Band Lateral Raise","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"6f66f400-fbde-4d84-8464-82fa9f810909","Banded Full Front Raise","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"9ff23e6a-952f-4d00-96c3-c5f370959d2a","Dowel Thoracic Extension","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"b72c9138-338e-4a93-a96d-804c79ed73d2","Abduction Wall Slide","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"1bec6f2b-442c-43e8-aa2b-ee1b8db02de5","Air Angels","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"3b1c0b26-3f92-479a-8046-fe16aafb01a7","Hip Drops","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"0c0411b7-3221-4995-a3d7-ac0c58f26590","Wrist Flexor Rock Back","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"8bbe80bf-9fba-40a1-a15f-06c8284fd889","Happy Baby Cradle","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"8a0e5b73-e3ad-4419-99fe-e57c86f66a6e","Seated Knee Extension Isometric","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"af45aadc-d118-4b0a-80ec-2c8bd15e80bc","Banded Full Can Raise","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"bd59dd5e-94f9-4a0b-985e-04164b353c02","Band Assisted Dead Bug","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"e711a079-d0d4-4e3e-879f-11c57f5888b9","Wall ABC","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"798a654d-3ad4-4951-905c-31ae6727b36d","Wrist Extensor Rock Back","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"c09078f9-a049-40af-b86b-5860ca66872f","Balance Pad Leg Swing","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"16df25e5-3c14-4444-bb39-fd12a2432cf4","Short Foot Around the World","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"5d3a9f20-29db-4e79-9d48-1ed9fbd07a8b","Adductor Band Pulls","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"2c0dcc73-3240-4e5f-a4e2-5c61b750d7b6","A9: Low-Load Isometrics","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"07c7465c-24ed-4098-af2b-0e7967d3a2c7","Swiss Ball Tall Plank","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"e559edf6-ad63-4f04-a3dd-d38d36fcbecf","Low-Load Isometrics","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"fcf134c9-0536-4f32-91e7-44f6aeb6b99c","DFL engagement via heel-weighting; SBL/SFL balance without knee locking.","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"65b636bb-35f2-4745-9abb-2e10c51e3346","Single Leg Calf Raises","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"e1c09bbb-bc0f-4768-b9c5-585e23e22ad1","Dynamic Balance (Comerford)","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
